"wn","VIP","PC1","PC2","PLS_p1","PLS_p2"
841.093,0.12317,-0.003476,-0.022109,0.003498,0.021067
843.691,0.164274,-0.006159,-0.015536,0.006171,0.009583
846.287,0.194781,-0.007756,-0.005532,0.007754,-0.004722
848.882,0.23328,-0.008912,0.015709,0.008883,-0.032426
851.475,0.279007,-0.010184,0.029315,0.010136,-0.051269
854.066,0.281576,-0.010683,0.027221,0.010639,-0.047091
856.656,0.252021,-0.009616,0.020623,0.009583,-0.037105
859.245,0.180544,-0.005558,0.021694,0.005526,-0.033966
861.832,0.144993,-0.001623,0.025347,0.001591,-0.032342
864.417,0.146548,-0.00123,0.023472,0.001202,-0.028105
867.001,0.150422,-0.003486,0.025632,0.003461,-0.026431
869.583,0.188215,-0.00719,0.022706,0.007171,-0.021717
872.164,0.297425,-0.011631,0.002772,0.011633,-0.001701
874.743,0.403501,-0.014664,-0.014832,0.014686,0.017531
877.321,0.379385,-0.01254,-0.024998,0.01257,0.026033
879.897,0.247984,-0.006756,-0.033688,0.006787,0.029522
882.472,0.145677,-0.001626,-0.039772,0.001657,0.030583
885.045,0.110725,0.00214,-0.042712,-0.002109,0.031251
887.616,0.140904,0.005178,-0.037773,-0.005149,0.030457
890.187,0.189204,0.007563,-0.031196,-0.00754,0.025043
892.755,0.180714,0.007164,-0.023346,-0.00715,0.016101
895.322,0.154341,0.006141,-0.013578,-0.006133,0.009798
897.887,0.15748,0.006278,-0.00911,-0.006272,0.007752
900.451,0.133036,0.00522,-0.004641,-0.005221,0.00099
903.014,0.10401,0.003548,-0.002573,-0.003554,-0.005116
905.575,0.123704,0.003248,-0.00697,-0.003255,-0.00599
908.134,0.153608,0.003512,-0.012384,-0.003516,-0.003172
910.692,0.171502,0.003218,-0.009698,-0.003226,-0.007367
913.248,0.123001,0.000896,-0.006122,-0.000905,-0.009026
915.803,0.052289,-0.001151,-0.011619,0.001157,0.00497
918.356,0.058153,-0.002208,-0.015558,0.002224,0.015653
920.908,0.111729,-0.00383,-0.014616,0.003849,0.017906
923.458,0.135829,-0.004579,-0.014406,0.0046,0.019193
926.007,0.12284,-0.004077,-0.01609,0.004095,0.016812
928.554,0.091565,-0.003626,-0.00981,0.003631,0.003467
931.1,0.087249,-0.002262,-0.000547,0.002252,-0.011053
933.644,0.069772,-0.000542,-0.003925,0.000536,-0.006323
936.186,0.054654,-0.000667,-0.009176,0.000669,0.001176
938.728,0.049289,0.000451,-0.010375,-0.000447,0.004122
941.267,0.096609,0.003631,-0.015849,-0.00362,0.011909
943.805,0.168073,0.006667,-0.016492,-0.006655,0.013794
946.342,0.206744,0.008245,-0.016694,-0.008231,0.01639
948.877,0.223225,0.0089,-0.016598,-0.008889,0.014774
951.41,0.235152,0.009304,-0.020536,-0.00929,0.016407
953.943,0.219908,0.00878,-0.026016,-0.008759,0.023405
956.473,0.181186,0.007015,-0.018429,-0.007004,0.01292
959.002,0.198763,0.006693,-0.006445,-0.006698,-0.003037
961.53,0.243822,0.007682,0.004084,-0.0077,-0.015506
964.056,0.257597,0.008052,0.015597,-0.00808,-0.025209
966.58,0.223779,0.007705,0.021639,-0.007731,-0.02365
969.103,0.171593,0.006486,0.013062,-0.0065,-0.011795
971.625,0.14626,0.005828,0.000477,-0.005827,0.003581
974.145,0.167604,0.00642,-0.010409,-0.006403,0.019058
976.663,0.172349,0.006614,-0.017736,-0.006591,0.025486
979.18,0.135284,0.005206,-0.01468,-0.005188,0.019662
981.696,0.089259,0.003507,-0.008334,-0.003496,0.012232
984.21,0.022553,0.00077,-0.007765,-0.000762,0.008513
986.722,0.127293,-0.004675,-0.015169,0.004687,0.010884
989.233,0.281898,-0.010817,-0.025842,0.010833,0.012902
991.743,0.463035,-0.018139,-0.026469,0.018156,0.010645
994.251,0.762743,-0.030101,-0.018709,0.030118,0.00732
996.757,1.328444,-0.05249,0.002412,0.052505,-0.002803
999.262,2.159983,-0.085129,0.046512,0.085141,-0.016188
1001.77,3.104557,-0.122003,0.094318,0.122021,-0.022762
1004.27,3.962211,-0.155401,0.129016,0.155428,-0.024043
1006.77,4.530302,-0.176828,0.140655,0.176876,-0.008924
1009.27,4.580995,-0.177914,0.143205,0.177968,-0.002671
1011.77,4.096346,-0.158547,0.136384,0.158589,-0.007883
1014.26,3.266735,-0.125637,0.109377,0.12567,-0.007022
1016.76,2.341887,-0.089183,0.074278,0.089206,-0.004744
1019.25,1.531165,-0.057658,0.043917,0.057675,-0.000882
1021.74,0.882934,-0.032813,0.018836,0.032826,0.002856
1024.23,0.417442,-0.015171,-0.001342,0.015185,0.009209
1026.72,0.14651,-0.004434,-0.015053,0.004452,0.016884
1029.21,0.063518,0.002494,-0.012485,-0.002486,0.008236
1031.69,0.135491,0.005077,-0.004547,-0.005083,-0.003737
1034.18,0.128837,0.004882,-0.00367,-0.00489,-0.005601
1036.66,0.114928,0.004137,-0.005324,-0.004146,-0.00703
1039.14,0.103175,0.002469,-0.008697,-0.002478,-0.008298
1041.62,0.119022,0.002966,-0.011773,-0.002971,-0.004199
1044.1,0.121594,0.004012,-0.016179,-0.004007,0.00577
1046.58,0.100742,0.003106,-0.012449,-0.003103,0.00449
1049.05,0.112797,0.00251,-0.001903,-0.002516,-0.005985
1051.52,0.091976,0.000672,0.007761,-0.000685,-0.012349
1054,0.062009,0.000167,0.010667,-0.000177,-0.010039
1056.47,0.090095,0.002418,0.006474,-0.002426,-0.007381
1058.94,0.144705,0.004701,0.003087,-0.004711,-0.009077
1061.4,0.19797,0.0072,-0.001939,-0.007208,-0.005708
1063.87,0.175985,0.006551,-0.008425,-0.006553,-0.000199
1066.34,0.104514,0.003807,-0.007868,-0.00381,-0.001495
1068.8,0.12541,0.004939,-0.017537,-0.004933,0.007899
1071.26,0.379447,0.015104,-0.032824,-0.015081,0.027013
1073.72,0.975773,0.038846,-0.047153,-0.038806,0.052377
1076.18,1.940692,0.077215,-0.068231,-0.077152,0.088076
1078.64,3.180242,0.126408,-0.089528,-0.126322,0.128075
1081.1,4.445161,0.176604,-0.107361,-0.176495,0.1678
1083.55,5.372734,0.213539,-0.118311,-0.213411,0.198946
1086,5.718469,0.227366,-0.116462,-0.227237,0.205839
1088.46,5.337728,0.21225,-0.107352,-0.21213,0.191046
1090.91,4.399289,0.17493,-0.090849,-0.174828,0.160579
1093.35,3.189375,0.12677,-0.062954,-0.126701,0.11217
1095.8,1.972625,0.078394,-0.040779,-0.078352,0.068822
1098.25,1.014319,0.040298,-0.02547,-0.040273,0.038441
1100.69,0.421463,0.016599,-0.011475,-0.016591,0.012977
1103.14,0.129077,0.004831,-0.003911,-0.004835,-0.002572
1105.58,0.035174,2e-04,0.004809,-0.000214,-0.013917
1108.02,0.078977,-0.002302,0.010267,0.002281,-0.021953
1110.46,0.123454,-0.004125,0.010188,0.004103,-0.023286
1112.89,0.160157,-0.005944,0.012946,0.005922,-0.023971
1115.33,0.153968,-0.006062,0.013891,0.006045,-0.018884
1117.76,0.144036,-0.005734,0.011694,0.005725,-0.010131
1120.2,0.152729,-0.006027,0.0073,0.006027,-0.001735
1122.63,0.207701,-0.008278,0.012754,0.008277,-0.003239
1125.06,0.315619,-0.012566,0.02271,0.012565,-0.005054
1127.49,0.451555,-0.017981,0.029444,0.017979,-0.008054
1129.91,0.597065,-0.023793,0.035666,0.023786,-0.014353
1132.34,0.688766,-0.027427,0.040968,0.027419,-0.016716
1134.76,0.683632,-0.027229,0.04786,0.027215,-0.023132
1137.19,0.656585,-0.026028,0.043271,0.026016,-0.019629
1139.61,0.590266,-0.023162,0.028508,0.023162,-0.007129
1142.03,0.487155,-0.019067,0.014836,0.019072,-0.000374
1144.44,0.391966,-0.014931,0.000569,0.014945,0.009248
1146.86,0.3166,-0.01085,-0.002981,0.010867,0.014
1149.28,0.254247,-0.006816,-0.002944,0.006834,0.016448
1151.69,0.207802,-0.003162,0.001854,0.003178,0.015571
1154.1,0.174504,-0.001928,0.017427,0.001932,0.004386
1156.52,0.172405,-0.002876,0.024141,0.002879,0.003328
1158.92,0.154083,-0.003902,0.020071,0.00391,0.007573
1161.33,0.108192,-0.003844,0.009307,0.003856,0.011002
1163.74,0.087554,-0.003441,0.005207,0.003448,0.006724
1166.15,0.092426,-0.002887,0.011661,0.002881,-0.006935
1168.55,0.120539,-0.002824,0.011158,0.00281,-0.015193
1170.95,0.138679,-0.001975,0.010866,0.001953,-0.022924
1173.35,0.148383,0.000171,0.012958,-0.000198,-0.027189
1175.75,0.132366,0.001604,0.006238,-0.001625,-0.020595
1178.15,0.097969,0.001795,-0.004666,-0.001805,-0.009823
1180.55,0.075202,0.002452,-0.015122,-0.002448,0.005092
1182.94,0.063909,0.002471,-0.021977,-0.002455,0.016719
1185.34,0.088176,0.002728,-0.030572,-0.002703,0.02601
1187.73,0.132628,0.004615,-0.041712,-0.004581,0.035652
1190.12,0.190553,0.007161,-0.042172,-0.007124,0.038919
1192.51,0.216034,0.008276,-0.035393,-0.008241,0.037537
1194.9,0.153405,0.005327,-0.030594,-0.005296,0.033207
1197.29,0.08627,0.001605,-0.022287,-0.001579,0.026533
1199.67,0.073428,-0.001073,-0.015771,0.001094,0.020678
1202.05,0.114705,-0.003209,-0.016375,0.00323,0.019631
1204.44,0.123097,-0.003917,-0.017818,0.003939,0.01994
1206.82,0.054823,-0.001142,-0.01532,0.001161,0.018164
1209.2,0.07095,0.00213,-0.017462,-0.002106,0.02471
1211.58,0.102484,0.003005,-0.024626,-0.002971,0.034949
1213.95,0.131276,0.002755,-0.03172,-0.00271,0.045935
1216.33,0.159293,0.002474,-0.034205,-0.002423,0.052393
1218.7,0.141498,0.00235,-0.024091,-0.002313,0.038705
1221.08,0.135715,0.002704,-0.011196,-0.002681,0.024601
1223.45,0.113495,0.002594,0.002007,-0.002582,0.012461
1225.82,0.069711,0.002434,0.019488,-0.002441,-0.005768
1228.18,0.081934,0.0032,0.018267,-0.003207,-0.00617
1230.55,0.108209,0.004281,0.005099,-0.004279,0.003572
1232.92,0.135427,0.005314,-0.002697,-0.005304,0.011646
1235.28,0.126559,0.004459,-0.007816,-0.004444,0.015774
1237.64,0.091873,0.003076,-0.0046,-0.003068,0.009905
1240.01,0.067605,0.002613,-8.3e-05,-0.00261,0.004314
1242.36,0.052159,0.001059,0.006325,-0.001063,-0.003922
1244.72,0.137702,-0.001021,0.021079,0.001001,-0.021182
1247.08,0.175254,-0.000737,0.0248,0.000711,-0.026959
1249.44,0.243917,0.002713,0.023894,-0.002745,-0.031427
1251.79,0.309805,0.006515,0.030782,-0.006556,-0.040066
1254.14,0.28388,0.009063,0.028655,-0.009095,-0.028907
1256.49,0.320926,0.012425,0.016079,-0.012437,-0.007723
1258.84,0.339262,0.013524,0.00541,-0.013523,0.006419
1261.19,0.26545,0.01012,-0.004314,-0.010106,0.017694
1263.54,0.21007,0.005101,-0.021976,-0.005067,0.035804
1265.89,0.261786,-0.001063,-0.046883,0.001119,0.056844
1268.23,0.342448,-0.008396,-0.059591,0.008457,0.058279
1270.57,0.432506,-0.014722,-0.059813,0.014775,0.048593
1272.92,0.509594,-0.018661,-0.061344,0.018718,0.050657
1275.26,0.466015,-0.017553,-0.056918,0.017607,0.048346
1277.59,0.33888,-0.01309,-0.037948,0.013126,0.031937
1279.93,0.223378,-0.008654,-0.020005,0.008679,0.02286
1282.27,0.095229,-0.002667,-0.013438,0.002693,0.025656
1284.6,0.089766,0.001959,-0.008872,-0.001937,0.022971
1286.94,0.100077,0.003349,-0.001399,-0.003339,0.011886
1289.27,0.154132,0.006052,0.003569,-0.006049,0.005747
1291.6,0.217934,0.008663,0.000252,-0.008656,0.010361
1293.93,0.247255,0.00959,-0.008712,-0.009571,0.023165
1296.26,0.2911,0.011062,-0.015635,-0.011033,0.032427
1298.58,0.301742,0.011452,-0.019308,-0.01142,0.035499
1300.91,0.280473,0.010736,-0.019142,-0.010706,0.033503
1303.23,0.193795,0.007655,-0.012998,-0.007635,0.022587
1305.55,0.090162,0.003447,-0.002856,-0.00344,0.008341
1307.87,0.071327,0.002164,0.006229,-0.002166,-0.001118
1310.19,0.093426,0.003203,0.007443,-0.003207,-0.003704
1312.51,0.08879,0.003491,-0.00075,-0.003484,0.008043
1314.83,0.157222,0.005154,-0.015293,-0.005129,0.02696
1317.14,0.204417,0.007067,-0.021341,-0.00704,0.029437
1319.46,0.188473,0.006886,-0.020418,-0.006866,0.022284
1321.77,0.123669,0.004762,-0.013504,-0.004754,0.009457
1324.08,0.029984,0.000788,-0.004242,-0.00079,-0.000868
1326.39,0.050863,-0.001707,-0.003408,0.001706,-0.001535
1328.7,0.044496,-0.001138,-0.008825,0.001143,0.004735
1331,0.111872,-0.000579,-0.01411,6e-04,0.021686
1333.31,0.198421,2e-04,-0.022979,-0.000155,0.045547
1335.61,0.212275,0.00198,-0.027648,-0.001928,0.053512
1337.92,0.206967,0.003169,-0.028415,-0.003121,0.049909
1340.22,0.219129,0.001509,-0.039404,-0.001453,0.056849
1342.52,0.276205,-0.004614,-0.054224,0.004681,0.065924
1344.82,0.454548,-0.014153,-0.064349,0.014226,0.068817
1347.11,0.662007,-0.023029,-0.077127,0.023111,0.074121
1349.41,0.787261,-0.027951,-0.079889,0.028036,0.075106
1351.7,0.816501,-0.029176,-0.068723,0.029257,0.071153
1354,0.707515,-0.025517,-0.051174,0.025584,0.059001
1356.29,0.482604,-0.017494,-0.029647,0.017537,0.038109
1358.58,0.248755,-0.008544,-0.019391,0.008576,0.029276
1360.87,0.09783,-0.001991,-0.015035,0.002017,0.025601
